,Time,Session,Volume,Price Entry,B/S,Profit
219,2023-04-27 03:10:00-04:00,Overnight Session,1158,12998.75,Buy,-95
220,2023-04-27 04:00:00-04:00,Overnight Session,869,12994,Sell,-130
221,2023-04-27 05:15:00-04:00,Overnight Session,469,13000.5,Buy,-230
222,2023-04-27 05:20:00-04:00,Overnight Session,439,12989,Sell,-150
223,2023-04-27 05:35:00-04:00,Overnight Session,373,12996.5,Buy,-80
224,2023-04-27 05:50:00-04:00,Overnight Session,287,12992.5,Sell,-90
225,2023-04-27 06:50:00-04:00,Overnight Session,935,12997,Buy,80
226,2023-04-27 08:35:00-04:00,Pre-Market,5756,13001,Sell,-505
227,2023-04-27 09:05:00-04:00,Pre-Market,2409,13026.25,Buy,-55
228,2023-04-27 09:55:00-04:00,RTH Session,13866,13023.5,Sell,-600
229,2023-04-27 10:05:00-04:00,RTH Session,9334,13053.5,Buy,1850
230,2023-04-27 12:00:00-04:00,RTH Lunch,7115,13146,Sell,-125
231,2023-04-27 12:05:00-04:00,RTH Lunch,4049,13152.25,Buy,115
232,2023-04-27 12:20:00-04:00,RTH Lunch,4103,13158,Sell,-780
233,2023-04-27 13:35:00-04:00,RTH Lunch,6659,13197,Buy,195
234,2023-04-27 14:10:00-04:00,RTH Lunch,2652,13206.75,Sell,-280
235,2023-04-27 14:15:00-04:00,RTH Lunch,4531,13220.75,Buy,-140
236,2023-04-27 14:20:00-04:00,RTH Lunch,3488,13213.75,Sell,-590
237,2023-04-27 15:05:00-04:00,RTH Power Hour,4610,13243.25,Buy,-185
238,2023-04-27 15:10:00-04:00,RTH Power Hour,5645,13234,Sell,-1625
239,2023-04-27 16:00:00-04:00,After-Session,24752,13315.25,Buy,-890
240,2023-04-27 16:30:00-04:00,After-Session,942,13270.75,Sell,1210
241,2023-04-27 19:20:00-04:00,Asia Session,191,13210.25,Buy,140
242,2023-04-27 22:55:00-04:00,Overnight Session,131,13217.25,Sell,140
243,2023-04-28 00:10:00-04:00,Overnight Session,340,13210.25,Buy,-175
244,2023-04-28 01:05:00-04:00,Overnight Session,392,13201.5,Sell,-120
245,2023-04-28 01:15:00-04:00,Overnight Session,222,13207.5,Buy,160
246,2023-04-28 02:10:00-04:00,Overnight Session,493,13215.5,Sell,225
247,2023-04-28 03:50:00-04:00,Overnight Session,841,13204.25,Buy,-240
248,2023-04-28 04:05:00-04:00,Overnight Session,774,13192.25,Sell,-180
249,2023-04-28 04:15:00-04:00,Overnight Session,938,13201.25,Buy,-315
250,2023-04-28 04:25:00-04:00,Overnight Session,806,13185.5,Sell,-70
251,2023-04-28 04:55:00-04:00,Overnight Session,464,13189,Buy,-65
252,2023-04-28 05:00:00-04:00,Overnight Session,446,13185.75,Sell,-220
253,2023-04-28 05:20:00-04:00,Overnight Session,985,13196.75,Buy,-215
254,2023-04-28 07:55:00-04:00,Overnight Session,1029,13186,Sell,-305
255,2023-04-28 08:35:00-04:00,Pre-Market,2820,13201.25,Buy,45
256,2023-04-28 09:35:00-04:00,RTH Session,11442,13203.5,Sell,-810
257,2023-04-28 10:05:00-04:00,RTH Session,18342,13244,Buy,-700
258,2023-04-28 10:55:00-04:00,RTH Session,17827,13209,Sell,-840
259,2023-04-28 11:45:00-04:00,RTH Lunch,6294,13251,Buy,-250
260,2023-04-28 12:35:00-04:00,RTH Lunch,3743,13238.5,Sell,-360
261,2023-04-28 12:40:00-04:00,RTH Lunch,3677,13256.5,Buy,325
262,2023-04-28 13:35:00-04:00,RTH Lunch,6078,13272.75,Sell,-375
263,2023-04-28 15:05:00-04:00,RTH Power Hour,2856,13291.5,Buy,-295
264,2023-04-28 15:30:00-04:00,RTH Power Hour,3928,13276.75,Sell,-515
265,2023-04-28 15:50:00-04:00,RTH Power Hour,5896,13302.5,Buy,465
266,2023-04-28 16:55:00-04:00,After-Session,339,13325.75,Sell,205
267,2023-04-30 20:40:00-04:00,Asia Session,679,13315.5,Buy,-130
268,2023-04-30 21:40:00-04:00,Asia Session,177,13309,Sell,-105
269,2023-04-30 22:15:00-04:00,Overnight Session,271,13314.25,Buy,385
270,2023-04-30 23:55:00-04:00,Overnight Session,96,13333.5,Sell,-160
271,2023-05-01 01:50:00-04:00,Overnight Session,816,13341.5,Buy,120
272,2023-05-01 03:25:00-04:00,Overnight Session,263,13347.5,Sell,620
273,2023-05-01 05:00:00-04:00,Overnight Session,253,13316.5,Buy,-80
274,2023-05-01 06:30:00-04:00,Overnight Session,237,13312.5,Sell,-75
275,2023-05-01 07:05:00-04:00,Overnight Session,337,13316.25,Buy,-250
276,2023-05-01 07:45:00-04:00,Overnight Session,611,13303.75,Sell,-60
277,2023-05-01 08:40:00-04:00,Pre-Market,979,13306.75,Buy,-190
278,2023-05-01 10:10:00-04:00,RTH Session,6472,13297.25,Sell,-270
279,2023-05-01 10:50:00-04:00,RTH Session,5910,13310.75,Buy,-640
280,2023-05-01 11:15:00-04:00,RTH Lunch,12396,13278.75,Sell,-350
281,2023-05-01 11:55:00-04:00,RTH Lunch,4155,13296.25,Buy,1085
282,2023-05-01 13:45:00-04:00,RTH Lunch,2747,13350.5,Sell,775
283,2023-05-01 15:50:00-04:00,RTH Power Hour,5726,13311.75,Buy,-350
284,2023-05-01 16:35:00-04:00,After-Session,671,13294.25,Sell,40
285,2023-05-01 18:30:00-04:00,Asia Session,563,13292.25,Buy,-375
286,2023-05-01 20:20:00-04:00,Asia Session,1591,13273.5,Sell,-295
287,2023-05-01 21:15:00-04:00,Asia Session,749,13288.25,Buy,-40
288,2023-05-01 22:10:00-04:00,Overnight Session,411,13286.25,Sell,-65
289,2023-05-01 22:20:00-04:00,Overnight Session,183,13289.5,Buy,125
290,2023-05-02 00:20:00-04:00,Overnight Session,334,13295.75,Sell,-170
291,2023-05-02 00:35:00-04:00,Overnight Session,207,13304.25,Buy,-60
